entity_id,RespondentLegalName,respondent_id
C003184,AEP Generating Company,1
C001552,ALABAMA POWER COMPANY,2
R001003,Alaska Electric Light and Power Company,3
C003448,Alcoa Power Generating Inc.,4
C000911,THE ALLEGHENY GENERATING COMPANY,5
C000530,Appalachian Power Company,6
C001436,Arizona Public Service Company,7
C000776,"Entergy Arkansas, LLC",8
C001466,Atlantic City Electric Company,9
C001111,Baltimore Gas and Electric Company,10
C000120,Emera Maine,11
C001421,"Black Hills Power, Inc.",12
C000135,"Duke Energy Progress, LLC",17
R001018,Catalyst Old River Hydroelectric Limited Partnership,18
C001025,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,19
C000447,Cleco Power LLC,22
C000615,Central Maine Power Company,23
C000528,AEP Texas Central Company,24
R001025,Central Vermont Public Service Corporation,25
C000292,"Duke Energy Ohio, Inc.",27
C000314,"Cleveland Electric Illuminating Company, The",30
R001031,Columbus Southern Power Company,31
C000199,Commonwealth Edison Company,32
R001033,"Commonwealth Edison Company of Indiana, Inc.",33
C001248,UNITIL Power Corp.,35
C000134,"Consolidated Edison Company of New York, Inc.",36
C002115,Connecticut Yankee Atomic Power Company,38
C001016,"Connecticut Light and Power Company, The",39
C001731,Consolidated Water Power Company,40
C000191,Consumers Energy Company,41
C000602,The Dayton Power and Light Company,42
C001465,Delmarva Power & Light Company,43
C000415,DTE Electric Company,44
C000290,"Duke Energy Carolinas, LLC",45
C001346,Duquesne Light Company,46
C000465,El Paso Electric Company,49
C002079,"Electric Energy, Inc.",50
C001130,The Empire District Electric Company,51
R001052,"Entergy Power, LLC",52
C001221,Fitchburg Gas and Electric Light Company,54
C000136,"Duke Energy Florida, LLC",55
C001030,Florida Power & Light Company,56
C001553,Georgia Power Company,57
C001298,"Golden Spread Electric Cooperative, Inc.",58
C001307,Liberty Utilities (Granite State Electric) Corp.,59
C001745,Green Mountain Power Corp,61
C001554,Gulf Power Company,62
C000847,"Entergy Gulf States Louisiana, L.L.C.",63
C002012,"CenterPoint Energy Houston Electric, LLC",68
C000620,Idaho Power Company,70
R001072,Indiana-Kentucky Electric Corporation,72
C000532,Indiana Michigan Power Company,73
C001315,Indianapolis Power & Light Company,74
C000312,Jersey Central Power & Light Company,77
C001181,"Evergy Metro, Inc.",79
R001080,"Evergy Kansas South, Inc.",80
C000533,Kentucky Power Company,81
C000555,Kentucky Utilities Company,82
C000534,Kingsport Power Company,83
C001153,Lockhart Power Company,84
C001322,National Grid Generation LLC,85
R001087,EL Investment Company,87
C000553,Louisville Gas and Electric Company,88
C002498,Madison Gas and Electric Company,89
C000616,"Maine Electric Power Company, Inc.",90
C001643,Maine Public Service Company,91
C003483,Maine Yankee Atomic Power Company,92
C001308,Massachusetts Electric Company,93
C002045,Montana-Dakota Utilities Co.,95
C000318,Metropolitan Edison Company,96
C001673,"ALLETE, Inc.",98
C001555,Mississippi Power Company,99
C000849,"Entergy Mississippi, LLC",100
C000906,MONONGAHELA POWER COMPANY,101
R001105,Mt. Carmel Public Utility Co,105
C001309,The Narragansett Electric Company,107
C001610,"Nevada Power Company, d/b/a NV Energy",108
C001654,New England Electric Transmission Corporation,110
C001656,"New England Hydro-Trans. Elec. Co., Inc.",111
C001655,New England Hydro-Transmission Corporation,112
C001305,New England Power Company,113
C000850,"Entergy New Orleans, LLC",114
C000618,New York State Electric & Gas Corporation,115
